be_index,elem,qpt,x,y,nx,ny,ds,p,cp,dFx,dFy
22,103,0,0.00496656,0.0452231,0.994023,-0.109167,0.112132,0.663175,-10.2221,-0.073919,0.00811805
22,103,1,0.0220341,0.200632,0.994023,-0.109167,0.179412,0.665198,-9.81756,-0.118631,0.0130285
22,103,2,0.0391017,0.356041,0.994023,-0.109167,0.112132,0.667146,-9.42785,-0.0743616,0.00816666
23,30,0,0.0381444,17.6838,0.992803,0.119758,0.0997137,0.679433,-6.97045,-0.0672612,-0.00811344
23,30,1,0.0214947,17.8218,0.992803,0.119758,0.159542,0.679057,-7.04564,-0.107558,-0.0129743
23,30,2,0.00484497,17.9598,0.992803,0.119758,0.0997137,0.678488,-7.1596,-0.0671676,-0.00810215
24,21,0,18.7289,-11.7155,-0.975696,-0.21913,0.107265,0.551921,-32.4729,0.0577631,0.0129729
24,21,1,18.7617,-11.8614,-0.975696,-0.21913,0.171624,0.5624,-30.3771,0.0941757,0.0211508
24,21,2,18.7945,-12.0073,-0.975696,-0.21913,0.107265,0.572649,-28.3274,0.0599324,0.0134601
25,108,0,18.7824,5.99095,0.88367,0.46811,0.11358,0.574197,-28.0177,-0.0576308,-0.030529
25,108,1,18.7083,6.13089,0.88367,0.46811,0.181729,0.569274,-29.0023,-0.0914187,-0.0484275
25,108,2,18.6342,6.27083,0.88367,0.46811,0.11358,0.564287,-29.9997,-0.0566361,-0.0300021
26,24,0,1.6071,3.62206,0.811656,-0.584136,0.169184,0.634113,-16.0345,-0.0870758,0.062667
26,24,1,1.74489,3.81352,0.811656,-0.584136,0.270694,0.635308,-15.7955,-0.139584,0.100456
26,24,2,1.88268,4.00498,0.811656,-0.584136,0.169184,0.636496,-15.558,-0.0874029,0.0629025
27,86,0,1.32999,3.20348,0.837238,-0.546839,0.135684,0.637256,-15.4059,-0.0723919,0.0472825
27,86,1,1.43344,3.36187,0.837238,-0.546839,0.217094,0.638399,-15.1774,-0.116035,0.0757877
27,86,2,1.5369,3.52026,0.837238,-0.546839,0.135684,0.639537,-14.9497,-0.072651,0.0474518
28,95,0,2.75492,5.0415,0.712797,-0.701371,0.169204,0.62139,-18.5792,-0.0749449,0.0737435
28,95,1,2.92038,5.20967,0.712797,-0.701371,0.270727,0.623642,-18.1288,-0.120346,0.118417
28,95,2,3.08585,5.37783,0.712797,-0.701371,0.169204,0.62588,-17.6811,-0.0754864,0.0742764
29,87,0,3.17554,5.46504,0.677653,-0.735382,0.139239,0.617891,-19.279,-0.0583014,0.063268
29,87,1,3.31831,5.5966,0.677653,-0.735382,0.222782,0.619682,-18.9207,-0.0935526,0.101522
29,87,2,3.46107,5.72816,0.677653,-0.735382,0.139239,0.621461,-18.5648,-0.0586383,0.0636336
30,94,0,4.78676,6.7217,0.491489,-0.870884,0.24273,0.598417,-23.1737,-0.0713908,0.126499
30,94,1,5.0815,6.88803,0.491489,-0.870884,0.388369,0.601348,-22.5876,-0.114785,0.20339
30,94,2,5.37623,7.05437,0.491489,-0.870884,0.24273,0.604237,-22.0097,-0.0720852,0.12773
31,101,0,4.33263,6.42373,0.560884,-0.827894,0.139294,0.604818,-21.8936,-0.0472531,0.0697481
31,101,1,4.49342,6.53266,0.560884,-0.827894,0.222871,0.606452,-21.5667,-0.0758093,0.111898
31,101,2,4.65421,6.64159,0.560884,-0.827894,0.139294,0.608063,-21.2446,-0.0475066,0.0701223
32,100,0,6.35603,7.46467,0.259717,-0.965685,0.224692,0.558557,-31.1458,-0.0325953,0.121196
32,100,1,6.65856,7.54603,0.259717,-0.965685,0.359507,0.568046,-29.2479,-0.0530385,0.197209
32,100,2,6.9611,7.6274,0.259717,-0.965685,0.224692,0.577425,-27.3721,-0.0336964,0.125291
33,106,0,5.55284,7.14089,0.386945,-0.922103,0.242801,0.581364,-26.5844,-0.0546195,0.13016
33,106,1,5.865,7.27188,0.386945,-0.922103,0.388482,0.587491,-25.359,-0.0883123,0.210451
33,106,2,6.17716,7.40287,0.386945,-0.922103,0.242801,0.593603,-24.1365,-0.0557694,0.1329
34,93,0,7.1377,7.66012,0.101606,-0.994825,0.219432,0.53683,-35.4912,-0.0119689,0.117188
34,93,1,7.44206,7.69121,0.101606,-0.994825,0.351091,0.547913,-33.2746,-0.0195456,0.191372
34,93,2,7.74643,7.72229,0.101606,-0.994825,0.219432,0.558743,-31.1086,-0.0124575,0.121971
35,4,0,7.92388,7.72428,-0.0791859,-0.99686,0.219765,0.511175,-40.6222,0.00889561,0.111986
35,4,1,8.22933,7.70002,-0.0791859,-0.99686,0.351624,0.52813,-37.2311,0.0147051,0.18512
35,4,2,8.53478,7.67575,-0.0791859,-0.99686,0.219765,0.544797,-33.8977,0.00948072,0.119351
36,36,0,8.71138,7.64506,-0.260101,-0.965581,0.223909,0.489775,-44.9022,0.028524,0.105891
36,36,1,9.01283,7.56386,-0.260101,-0.965581,0.358255,0.511988,-40.4596,0.0477082,0.177109
36,36,2,9.31428,7.48266,-0.260101,-0.965581,0.223909,0.534112,-36.0347,0.0311061,0.115476
37,76,0,9.49444,7.41479,-0.431713,-0.902011,0.252602,0.471635,-48.5302,0.0514324,0.107462
37,76,1,9.81212,7.26274,-0.431713,-0.902011,0.404163,0.501972,-42.4628,0.0875852,0.182999
37,76,2,10.1298,7.11069,-0.431713,-0.902011,0.252602,0.53207,-36.4432,0.0580229,0.121232
38,57,0,10.3064,7.0081,-0.569728,-0.821833,0.252396,0.461115,-50.6341,0.0663072,0.0956481
38,57,1,10.5956,6.80761,-0.569728,-0.821833,0.403834,0.488306,-45.1959,0.112347,0.162061
38,57,2,10.8848,6.60712,-0.569728,-0.821833,0.252396,0.514959,-39.8654,0.0740497,0.106817
39,74,0,11.0177,6.50637,-0.656477,-0.754346,0.15921,0.458524,-51.1524,0.0479239,0.0550684
39,74,1,11.1852,6.36064,-0.656477,-0.754346,0.254736,0.473808,-48.0956,0.0792341,0.0910464
39,74,2,11.3526,6.21492,-0.656477,-0.754346,0.15921,0.488961,-45.0649,0.0511051,0.0587239
40,12,0,12.5804,4.82207,-0.817015,-0.576616,0.189745,0.46171,-50.5152,0.0715764,0.0505157
40,12,1,12.7329,4.60592,-0.817015,-0.576616,0.303592,0.46935,-48.9871,0.116417,0.0821626
40,12,2,12.8855,4.38978,-0.817015,-0.576616,0.189745,0.476948,-47.4675,0.0739387,0.052183
41,34,0,12.2224,5.2846,-0.78673,-0.617297,0.159026,0.46212,-50.4331,0.0578161,0.0453646
41,34,1,12.3593,5.11017,-0.78673,-0.617297,0.254441,0.472527,-48.3517,0.0945889,0.0742178
41,34,2,12.4962,4.93573,-0.78673,-0.617297,0.159026,0.482876,-46.282,0.0604128,0.0474021
42,56,0,13.7904,2.88429,-0.885738,-0.464185,0.210807,0.458547,-51.1477,0.08562,0.0448705
42,56,1,13.9269,2.62395,-0.885738,-0.464185,0.337292,0.465881,-49.681,0.139183,0.072941
42,56,2,14.0633,2.36362,-0.885738,-0.464185,0.210807,0.47318,-48.2211,0.0883523,0.0463024
43,73,0,14.1277,2.23763,-0.897122,-0.441783,0.137984,0.457374,-51.3824,0.0566176,0.027881
43,73,1,14.2127,2.06504,-0.897122,-0.441783,0.220774,0.462128,-50.4315,0.0915298,0.0450733
43,73,2,14.2977,1.89244,-0.897122,-0.441783,0.137984,0.466867,-49.4838,0.0577927,0.0284597
44,90,0,15.5134,-0.949412,-0.93472,-0.355385,0.137937,0.457203,-51.4166,0.0589483,0.0224124
44,90,1,15.5818,-1.12918,-0.93472,-0.355385,0.220699,0.458964,-51.0643,0.0946807,0.035998
44,90,2,15.6501,-1.30895,-0.93472,-0.355385,0.137937,0.460722,-50.7127,0.0594021,0.0225849
45,46,0,15.6942,-1.42694,-0.938405,-0.345538,0.172514,0.457568,-51.3435,0.0740749,0.0272758
45,46,1,15.7773,-1.65266,-0.938405,-0.345538,0.276023,0.459965,-50.8642,0.119141,0.0438698
45,46,2,15.8604,-1.87837,-0.938405,-0.345538,0.172514,0.46236,-50.3852,0.0748506,0.0275614
46,18,0,17.0768,-5.54763,-0.956783,-0.290802,0.172493,0.471664,-48.5244,0.0778426,0.0236593
46,18,1,17.1467,-5.77774,-0.956783,-0.290802,0.275989,0.47421,-48.0151,0.125221,0.0380592
46,18,2,17.2166,-6.00785,-0.956783,-0.290802,0.172493,0.476753,-47.5066,0.0786825,0.0239146
47,43,0,17.2494,-6.11651,-0.958176,-0.286179,0.107262,0.473846,-48.0879,0.0486999,0.0145453
47,43,1,17.2922,-6.25981,-0.958176,-0.286179,0.171619,0.475638,-47.7295,0.0782145,0.0233604
47,43,2,17.335,-6.4031,-0.958176,-0.286179,0.107262,0.477428,-47.3716,0.049068,0.0146552
48,72,0,1.52672,16.9309,-0.24487,0.969556,0.102384,0.685602,-5.73671,0.0171886,-0.068058
48,72,1,1.38832,16.896,-0.24487,0.969556,0.163815,0.681622,-6.53267,0.0273422,-0.108261
48,72,2,1.24991,16.861,-0.24487,0.969556,0.102384,0.677585,-7.34006,0.0169877,-0.0672622
49,69,0,1.91917,17.138,-0.487974,0.872858,0.126311,0.691333,-4.59055,0.0426114,-0.0762206
49,69,1,1.76545,17.0521,-0.487974,0.872858,0.202098,0.684104,-6.03635,0.0674653,-0.120678
49,69,2,1.61173,16.9661,-0.487974,0.872858,0.126311,0.676811,-7.49502,0.0417163,-0.0746195
